Date,Time,Relative_time,Temperature,Resonance_Frequency,Dissipation
2026-04-24,12:25:35.080,0.0,24.83,10011102.85,0.00030522552799357926
2026-04-24,12:25:35.476,0.4,24.82,10011102.95,0.000305262533691131
2026-04-24,12:25:35.864,0.78,24.82,10011103.0,0.00030529495309121577
2026-04-24,12:25:36.277,1.2,24.82,10011103.12,0.00030532691170341033
2026-04-24,12:25:36.664,1.58,24.82,10011103.12,0.0003053589229863052
2026-04-24,12:25:37.035,1.95,24.82,10011103.21,0.00030538718826571043
2026-04-24,12:25:37.432,2.35,24.82,10011103.31,0.0003054122377457202
2026-04-24,12:25:37.815,2.73,24.82,10011103.33,0.0003054428795637487
2026-04-24,12:25:38.199,3.12,24.82,10011103.31,0.0003054692351942555
2026-04-24,12:25:38.582,3.5,24.82,10011103.38,0.0003054910402460664
2026-04-24,12:25:38.971,3.89,24.82,10011103.4,0.00030551534950164927
2026-04-24,12:25:39.349,4.27,24.83,10011103.39,0.0003055410080298088
2026-04-24,12:25:39.752,4.67,24.83,10011103.47,0.0003055635972629798
2026-04-24,12:25:40.133,5.05,24.83,10011103.59,0.0003055860714396365
2026-04-24,12:25:40.522,5.44,24.83,10011103.64,0.0003056019530115101
2026-04-24,12:25:40.893,5.81,24.82,10011103.64,0.00030562193668507006
2026-04-24,12:25:41.299,6.22,24.82,10011103.63,0.0003056396974026548
2026-04-24,12:25:41.675,6.59,24.82,10011103.53,0.0003056557616494491
2026-04-24,12:25:42.049,6.97,24.82,10011103.7,0.00030566855172479496
2026-04-24,12:25:42.425,7.34,24.82,10011103.82,0.000305679923070523
2026-04-24,12:25:42.817,7.74,24.82,10011103.92,0.00030569302511376654
2026-04-24,12:25:43.191,8.11,24.82,10011103.96,0.0003057067002395297
2026-04-24,12:25:43.567,8.49,24.83,10011104.11,0.00030571410561034133
2026-04-24,12:25:43.966,8.89,24.83,10011104.01,0.0003057271909578379
2026-04-24,12:25:44.333,9.25,24.83,10011104.0,0.0003057352392360319
2026-04-24,12:25:44.706,9.63,24.83,10011104.05,0.0003057466580431775
2026-04-24,12:25:45.083,10.0,24.83,10011103.92,0.00030575738515099593
2026-04-24,12:25:45.458,10.38,24.83,10011103.84,0.0003057655228386855
2026-04-24,12:25:45.830,10.75,24.83,10011103.91,0.0003057768905362999
2026-04-24,12:25:46.208,11.13,24.83,10011103.99,0.00030578708458072254
2026-04-24,12:25:46.581,11.5,24.83,10011103.91,0.0003057870845807226
2026-04-24,12:25:46.960,11.88,24.83,10011104.0,0.0003057906370684654
2026-04-24,12:25:47.331,12.25,24.83,10011103.95,0.0003058001268443939
